CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6461869,2014,2016-04-16,9835,2014-04-02,0848,17724,,3,1,9,3600,0,1,2,,1,014,"RT 395","CUDDEBACK RD",528.00,N,N,A,-,Y,SBD,8,395,-,-,61.500,H,-,N,Y,4,0,3,3,A,-,08,22107,,N,D,C,F,A,H,-,A,D,0,Y,,,,Y,,A,01,0,0,3,0,1,0,0,0,0,"- ","- ",,,"SAN BERNARDINO",UNINCORPORATED,-117.60287458000001,35.212038470000003
6633568,2014,2014-09-26,9855,2014-06-18,1745,018313,,3,2,9,3600,0,3,5,,2,004,"CENTRAL AV","MISSION BL",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21453,C,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN BERNARDINO",UNINCORPORATED,-117.6894801,34.056040060000001
6691845,2014,2015-01-15,3610,2014-07-02,2041,50249,,3,5,6,3610,0,0,0,,0,,"N RANCHO AV","W SPRING MOUNTAIN TRL",321.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,2,D,-,00,,,N,B,G,A,A,H,-,C,D,0,,Y,,,Y,,-,"- ",0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN BERNARDINO","SAN BERNARDINO",-117.33317803,34.097662960000001
6718922,2014,2016-04-06,3603,2014-10-29,2034,2307,,3,5,4,3603,0,0,0,,0,004,"MOHAVE DR","WASHINGTON ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,21453,A,N,D,G,A,A,H,-,C,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN BERNARDINO",COLTON,-117.29127011999999,34.049070039999997
6809300,2015,2015-03-03,3610,2015-01-10,0632,50908,,6,5,6,3610,0,0,0,,0,,"WEST BASELINE RD","N E ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,F,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,1,0,0,1,0,0,0,0,"- ","- ",,,"SAN BERNARDINO","SAN BERNARDINO",-117.29416011000001,34.121350040000003
6809344,2015,2015-02-26,3610,2015-01-12,2244,50911,,1,5,6,3610,0,0,0,,0,,"W 6TH ST","N G ST",305.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21955,,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,"SAN BERNARDINO","SAN BERNARDINO",-117.29965455,34.11018
90763639,2018,2018-07-05,9850,2018-06-29,0715,021991,,5,1,9,3600,0,1,3,,2,042,SR-18,"MIDWAY AVE",528.00,S,N,A,-,Y,,,18,,,,,,,N,3,0,1,2,C,-,18,,,N,H,B,E,A,H,-,A,D,0,Y,,,Y,Y,Y,-,"- ",0,1,0,0,1,0,0,0,0,"- ","- ",34.410068511962891,-116.90083312988281,"SAN BERNARDINO",UNINCORPORATED,-116.90088653564453,34.409992218017578
91089871,2019,2019-10-03,9860,2019-07-26,2000,019429,,5,2,9,3600,0,3,5,,2,002,"MARSHALL BOULEVARD","DEL ROSA AVENUE",0.00,,Y,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,12,22450,A,N,H,G,A,A,H,-,D,A,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",34.149501800537109,-117.25240325927734,"SAN BERNARDINO",UNINCORPORATED,-117.25244140625,34.149448394775391
91517043,2021,2021-07-09,9835,2021-06-27,0235,022341,,7,3,9,3600,0,1,1,,2,074,I-15,"BASIN RD.",15312.00,S,N,A,-,Y,,,15,,,,,,,N,2,0,1,2,A,-,11,21953,,F,G,B,E,A,H,-,D,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",35.090179443359375,-116.31413269042969,"SAN BERNARDINO",UNINCORPORATED,-116.31414794921875,35.090217590332031
91937507,2022,2022-12-08,9860,2022-12-02,0145,021229,,5,3,9,3600,0,3,5,,2,002,"STATE ST (2600 BLOCK)","MALLORY ST",300.00,N,N,B,C,N,,,,,,,,,,N,3,0,2,2,A,-,11,21954,A,N,G,B,E,B,H,-,D,D,0,Y,,,,Y,,N,60,0,1,1,0,1,0,0,0,0,"- ","- ",34.144161224365234,-117.33544921875,"SAN BERNARDINO",UNINCORPORATED,-117.33547210693359,34.144111633300781
