CASE_ID,CITY,COUNTY,ACCIDENT_YEAR,LATITUDE,LONGITUDE,SEVERITY,JURIS,COLLISION_TIME,CNTY_CITY_LOC,DISTANCE,PARTY_COUNT,PCF_VIOLATION,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,DAY_OF_WEEK_1,DAY_OF_WEEK_2,DAY_OF_WEEK_3,DAY_OF_WEEK_4,DAY_OF_WEEK_5,DAY_OF_WEEK_6,DAY_OF_WEEK_7,CHP_SHIFT_1,CHP_SHIFT_2,CHP_SHIFT_3,CHP_SHIFT_4,CHP_SHIFT_5,WEATHER_1_-,WEATHER_1_A,WEATHER_1_B,WEATHER_1_C,WEATHER_1_D,WEATHER_2_-,WEATHER_2_C,WEATHER_2_G,INTERSECTION_-,INTERSECTION_N,INTERSECTION_Y,STATE_HWY_IND_N,STATE_HWY_IND_Y,TOW_AWAY_N,TOW_AWAY_Y,PRIMARY_COLL_FACTOR_-,PRIMARY_COLL_FACTOR_A,PRIMARY_COLL_FACTOR_B,PRIMARY_COLL_FACTOR_C,PRIMARY_COLL_FACTOR_D,PCF_VIOL_CATEGORY_- ,PCF_VIOL_CATEGORY_00,PCF_VIOL_CATEGORY_01,PCF_VIOL_CATEGORY_03,PCF_VIOL_CATEGORY_05,PCF_VIOL_CATEGORY_06,PCF_VIOL_CATEGORY_07,PCF_VIOL_CATEGORY_08,PCF_VIOL_CATEGORY_09,PCF_VIOL_CATEGORY_10,PCF_VIOL_CATEGORY_11,PCF_VIOL_CATEGORY_12,PCF_VIOL_CATEGORY_13,PCF_VIOL_CATEGORY_14,PCF_VIOL_CATEGORY_17,PCF_VIOL_CATEGORY_18,PCF_VIOL_CATEGORY_21,PCF_VIOL_CATEGORY_22,HIT_AND_RUN_F,HIT_AND_RUN_M,HIT_AND_RUN_N,TYPE_OF_COLLISION_-,TYPE_OF_COLLISION_A,TYPE_OF_COLLISION_B,TYPE_OF_COLLISION_C,TYPE_OF_COLLISION_D,TYPE_OF_COLLISION_E,TYPE_OF_COLLISION_F,TYPE_OF_COLLISION_G,TYPE_OF_COLLISION_H,MVIW_-,MVIW_1,MVIW_2,MVIW_A,MVIW_B,MVIW_C,MVIW_E,MVIW_G,MVIW_I,MVIW_J,PED_ACTION_-,PED_ACTION_A,PED_ACTION_B,PED_ACTION_C,PED_ACTION_D,PED_ACTION_E,PED_ACTION_F,ROAD_SURFACE_-,ROAD_SURFACE_A,ROAD_SURFACE_B,ROAD_SURFACE_C,ROAD_COND_1_-,ROAD_COND_1_A,ROAD_COND_1_B,ROAD_COND_1_C,ROAD_COND_1_D,ROAD_COND_1_F,ROAD_COND_1_G,ROAD_COND_1_H,ROAD_COND_2_-,ROAD_COND_2_H,LIGHTING_-,LIGHTING_A,LIGHTING_B,LIGHTING_C,LIGHTING_D,LIGHTING_E,CONTROL_DEVICE_-,CONTROL_DEVICE_A,CONTROL_DEVICE_B,CONTROL_DEVICE_D,STWD_VEHTYPE_AT_FAULT_-,STWD_VEHTYPE_AT_FAULT_A,STWD_VEHTYPE_AT_FAULT_C,STWD_VEHTYPE_AT_FAULT_D,STWD_VEHTYPE_AT_FAULT_E,STWD_VEHTYPE_AT_FAULT_F,STWD_VEHTYPE_AT_FAULT_G,STWD_VEHTYPE_AT_FAULT_I,STWD_VEHTYPE_AT_FAULT_J,STWD_VEHTYPE_AT_FAULT_L,STWD_VEHTYPE_AT_FAULT_M,STWD_VEHTYPE_AT_FAULT_N,CHP_ROAD_TYPE_0,CHP_ROAD_TYPE_1,BEAT_TYPE_0,BEAT_TYPE_1,BEAT_TYPE_2,BEAT_TYPE_3,POPULATION_2,POPULATION_3,POPULATION_4,POPULATION_5,POPULATION_6,POPULATION_9,DIRECTION_E,DIRECTION_N,DIRECTION_S,DIRECTION_W,CHP_VEHTYPE_AT_FAULT_bicycle,CHP_VEHTYPE_AT_FAULT_emergency,CHP_VEHTYPE_AT_FAULT_motorcycle,CHP_VEHTYPE_AT_FAULT_other,CHP_VEHTYPE_AT_FAULT_passenger_car,CHP_VEHTYPE_AT_FAULT_pedestrian,CHP_VEHTYPE_AT_FAULT_truck,school_zone
6461869,UNINCORPORATED,SAN BERNARDINO,2014,35.21203847,-117.60287458,0,9835,848,3600,528.0,3,22107.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
6633568,UNINCORPORATED,SAN BERNARDINO,2014,34.05604006,-117.6894801,0,9855,1745,3600,0.0,2,21453.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
6691845,SAN BERNARDINO,SAN BERNARDINO,2014,34.09766296,-117.33317803,0,3610,2041,3610,321.0,2,21954.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
6718922,COLTON,SAN BERNARDINO,2014,34.04907004,-117.29127012,0,3603,2034,3603,0.0,2,21453.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
6809300,SAN BERNARDINO,SAN BERNARDINO,2015,34.12135004,-117.29416011,0,3610,632,3610,0.0,2,21950.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
6809344,SAN BERNARDINO,SAN BERNARDINO,2015,34.11018,-117.29965455,0,3610,2244,3610,305.0,2,21955.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
90763639,UNINCORPORATED,SAN BERNARDINO,2018,34.41006851196289,-116.9008331298828,0,9850,715,3600,528.0,2,21954.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
91089871,UNINCORPORATED,SAN BERNARDINO,2019,34.14950180053711,-117.25240325927734,1,9860,2000,3600,0.0,2,22450.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
91517043,UNINCORPORATED,SAN BERNARDINO,2021,35.090179443359375,-116.31413269042967,1,9835,235,3600,15312.0,2,21953.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
91937507,UNINCORPORATED,SAN BERNARDINO,2022,34.144161224365234,-117.33544921875,0,9860,145,3600,300.0,2,21954.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
