CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5815520,2013,2013-04-02,3600,2013-01-30,857,B7126,AD106,3,5,3,3613,0,0,0,,0,17X53,JONATHAN ST,LAWSON AV,151.0,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21954.0,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,- ,- ,,,SAN BERNARDINO,ADELANTO,-117.4095408,34.5760086
6060860,2013,2014-02-19,3600,2013-04-20,1607,E2262,AD106,6,5,3,3613,0,0,0,,0,,AIR BASE RD,RT 395,0.0,,Y,A,-,Y,SBD,8.0,395.0,-,-,15.707,I,5.0,N,N,3,0,1,2,D,-,00,,,N,G,G,A,A,H,-,A,A,0,,Y,,,Y,,-,- ,0,1,0,0,0,0,1,0,0,- ,- ,,,SAN BERNARDINO,ADELANTO,-117.4093019,34.5710289
8295033,2016,2017-03-06,3600,2016-12-13,2047,F8940,AD107,2,5,3,3613,0,0,0,,0,AD2,AIR EXPRESS BL,RT 395,0.0,,Y,A,-,Y,SBD,8.0,395.0,-,-,15.707,I,5.0,N,N,4,0,1,2,A,-,00,21456.0,1,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,- ,- ,,,SAN BERNARDINO,ADELANTO,-117.40963439,34.57209019
8533603,2017,2018-03-19,3600,2017-01-09,630,B9547,AD108,1,5,3,3613,0,0,0,,0,,AIR EXPRESS WY,ADELANTO RD,758.0,W,N,C,-,N,,,,,,,,,,N,4,0,1,2,D,-,00,,,F,G,B,E,B,H,-,D,A,0,Y,,,,Y,,-,- ,0,0,1,0,1,0,0,0,0,- ,- ,,,SAN BERNARDINO,ADELANTO,-117.40321061,34.57201946
8787623,2019,2019-02-02,3600,2019-01-03,1052,E6899,AD207,4,5,3,3613,0,0,0,,0,AD1,DELICIOUS ST,BARLETT AV,0.0,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950.0,,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,07,0,0,1,0,1,0,0,0,0,- ,- ,,,SAN BERNARDINO,ADELANTO,-117.41400909423828,34.57918167114258
8911696,2020,2020-10-19,3600,2020-03-13,2341,H6891,AD105,5,5,3,3613,0,0,0,,0,AD01,AIR EXPWY,ADELANTO RD,797.0,W,N,A,-,N,,,,,,,,,,N,1,1,0,3,A,-,11,21954.0,A,N,G,-,E,A,H,-,D,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,- ,- ,34.57194137573242,-117.4023208618164,SAN BERNARDINO,ADELANTO,-117.403349,34.572007
9256107,2021,2023-07-18,3600,2021-01-27,227,H6891,AD016,3,5,3,3613,0,0,0,,0,AD01,AIR EXPRESS WY,PEARMAIN ST,0.0,,Y,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954.0,A,F,G,B,E,A,H,-,D,A,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,- ,- ,34.571998596191406,-117.40511322021484,SAN BERNARDINO,ADELANTO,-117.40512847900392,34.571998596191406
9406346,2021,2022-02-17,3600,2021-08-26,2111,I4717,AD311,4,5,3,3613,0,0,0,,0,AD1,JONATHAN ST,HARVY AV,0.0,,Y,A,-,N,,,,,,,,,,Y,2,0,1,2,-,-,- ,,B,M,A,B,E,A,H,-,C,-,0,Y,,,,Y,,A,01,1,0,0,0,1,0,0,0,0,- ,- ,34.58024978637695,-117.40953826904295,SAN BERNARDINO,ADELANTO,-117.40953826904295,34.58012390136719
9520157,2022,2022-12-20,3600,2022-09-03,2216,C8720,AD106,6,5,3,3613,0,0,0,,0,AD1,AIR EXPWY,PEARMAIN ST,469.0,E,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21956.0,A,N,G,B,E,A,H,-,D,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,- ,- ,34.572021484375,-117.4040298461914,SAN BERNARDINO,ADELANTO,-117.40357971191406,34.57201385498047
9536044,2022,2022-12-29,3600,2022-11-09,1807,H6891,AD105,3,5,3,3613,0,0,0,,0,AD01,RT 395,BARTLETT AV,0.0,,Y,C,-,Y,SBD,8.0,395.0,-,-,16.225,I,5.0,S,N,3,0,1,2,A,-,10,21950.0,A,F,G,B,B,B,H,-,C,A,0,Y,,,,Y,Y,-,99,0,1,0,0,1,0,0,0,0,- ,- ,34.579200744628906,-117.41207885742188,SAN BERNARDINO,ADELANTO,-117.41207122802734,34.57923126220703
