CASE_ID,ACCIDENT_YEAR,JURIS,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CITY_DIVISION_LAPD,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6461869,2014,9835,2014-04-02,848,3,1,9,3600,0,1,,RT 395,CUDDEBACK RD,528.0,N,N,A,-,Y,SBD,8.0,395.0,-,-,61.5,H,-,N,Y,4,0,3,3,A,-,08,22107.0,,N,D,C,F,A,H,-,A,D,0,Y,,,,Y,,A,01,0,0,3,0,1,0,0,0,0,- ,- ,,,SAN BERNARDINO,UNINCORPORATED,-117.60287458,35.21203847
6633568,2014,9855,2014-06-18,1745,3,2,9,3600,0,3,,CENTRAL AV,MISSION BL,0.0,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21453.0,C,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,- ,- ,,,SAN BERNARDINO,UNINCORPORATED,-117.6894801,34.05604006
6691845,2014,3610,2014-07-02,2041,3,5,6,3610,0,0,,N RANCHO AV,W SPRING MOUNTAIN TRL,321.0,S,N,A,-,N,,,,,,,,,,N,3,0,1,2,D,-,00,,,N,B,G,A,A,H,-,C,D,0,,Y,,,Y,,-,- ,0,1,0,0,0,0,1,0,0,- ,- ,,,SAN BERNARDINO,SAN BERNARDINO,-117.33317803,34.09766296
6718922,2014,3603,2014-10-29,2034,3,5,4,3603,0,0,,MOHAVE DR,WASHINGTON ST,0.0,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,21453.0,A,N,D,G,A,A,H,-,C,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,- ,- ,,,SAN BERNARDINO,COLTON,-117.29127012,34.04907004
6809300,2015,3610,2015-01-10,632,6,5,6,3610,0,0,,WEST BASELINE RD,N E ST,0.0,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950.0,A,F,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,1,0,0,1,0,0,0,0,- ,- ,,,SAN BERNARDINO,SAN BERNARDINO,-117.29416011,34.12135004
6809344,2015,3610,2015-01-12,2244,1,5,6,3610,0,0,,W 6TH ST,N G ST,305.0,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21955.0,,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,- ,- ,,,SAN BERNARDINO,SAN BERNARDINO,-117.29965455,34.11018
90763639,2018,9850,2018-06-29,715,5,1,9,3600,0,1,,SR-18,MIDWAY AVE,528.0,S,N,A,-,Y,,,18.0,,,,,,,N,3,0,1,2,C,-,18,,,N,H,B,E,A,H,-,A,D,0,Y,,,Y,Y,Y,-,- ,0,1,0,0,1,0,0,0,0,- ,- ,34.41006851196289,-116.9008331298828,SAN BERNARDINO,UNINCORPORATED,-116.90088653564452,34.40999221801758
91089871,2019,9860,2019-07-26,2000,5,2,9,3600,0,3,,MARSHALL BOULEVARD,DEL ROSA AVENUE,0.0,,Y,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,12,22450.0,A,N,H,G,A,A,H,-,D,A,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,- ,- ,34.14950180053711,-117.25240325927734,SAN BERNARDINO,UNINCORPORATED,-117.25244140625,34.14944839477539
91517043,2021,9835,2021-06-27,235,7,3,9,3600,0,1,,I-15,BASIN RD.,15312.0,S,N,A,-,Y,,,15.0,,,,,,,N,2,0,1,2,A,-,11,21953.0,,F,G,B,E,A,H,-,D,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,- ,- ,35.090179443359375,-116.31413269042967,SAN BERNARDINO,UNINCORPORATED,-116.31414794921876,35.09021759033203
91937507,2022,9860,2022-12-02,145,5,3,9,3600,0,3,,STATE ST (2600 BLOCK),MALLORY ST,300.0,N,N,B,C,N,,,,,,,,,,N,3,0,2,2,A,-,11,21954.0,A,N,G,B,E,B,H,-,D,D,0,Y,,,,Y,,N,60,0,1,1,0,1,0,0,0,0,- ,- ,34.144161224365234,-117.33544921875,SAN BERNARDINO,UNINCORPORATED,-117.3354721069336,34.14411163330078
