CASE_ID,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_AGE,VICTIM_SEX,severity_1_4
5530638,1,2,69,F,1
5530638,2,2,73,F,1
5639577,1,1,38,M,3
5639577,1,1,51,M,1
5639577,1,1,49,M,4
5639577,2,2,48,F,1
5639578,1,2,35,M,3
5639578,1,2,0,M,4
5639578,2,1,31,M,3
5639578,2,1,18,M,4
5639578,3,2,18,M,4
5639610,1,1,47,M,4
5639610,1,1,49,M,1
5639610,1,1,43,M,1
5639612,1,1,35,M,4
5639685,1,2,39,M,4
5639685,1,2,24,F,1
5639685,2,1,22,M,1
5639685,2,2,45,F,1
5639685,3,2,18,F,1
5639693,1,1,50,M,4
5639693,1,1,54,F,4
5639699,1,1,68,F,4
5639730,1,2,60,M,1
5639730,1,1,24,M,4
5639730,2,1,31,M,1
5639744,1,1,44,F,4
5639744,1,1,41,F,3
5639744,2,2,47,M,2
5639746,1,1,73,F,4
5639746,1,1,73,M,3
5639746,2,2,73,F,3
5639784,1,1,51,M,4
5639787,1,1,18,F,3
5639787,1,1,54,M,4
5639787,2,2,28,F,3
5639823,1,1,22,M,4
5639823,2,2,29,F,2
5639884,1,1,21,M,3
5639884,1,1,57,M,4
5639892,1,1,20,M,4
5639964,1,3,22,M,4
5639978,1,1,29,M,1
5639978,1,1,56,F,4
5639978,2,2,18,F,4
5639978,3,2,13,F,4
5639996,1,1,25,M,2
5639996,2,2,24,M,4
5639999,1,1,20,M,4
5639999,1,1,30,M,4
5639999,2,2,9,-,2
5639999,3,2,13,M,2
5639999,4,2,41,F,2
5639999,5,2,9,F,2
5779157,1,3,29,M,2
5779157,1,2,48,M,1
5814659,1,1,52,M,1
5814765,1,1,35,M,1
5814908,1,1,44,F,1
5814908,1,1,59,M,1
5814923,1,1,46,M,1
5815167,1,1,23,M,1
5815167,2,2,20,M,1
5815365,1,1,53,F,1
5815365,1,3,48,M,1
5815520,1,3,8,M,2
5815560,1,1,36,M,1
5815822,1,2,46,M,1
5815822,2,2,27,M,1
5816126,1,1,36,M,2
5816126,1,1,24,F,2
5816126,2,2,5,F,2
5816126,3,2,23,F,2
5816171,1,1,57,F,1
5858158,1,2,50,M,1
5858158,2,2,46,M,1
5858158,3,2,37,M,1
5858158,4,2,31,M,1
5889243,1,1,29,F,1
5889260,1,1,26,M,2
5889270,1,1,32,M,1
5889274,1,1,42,M,1
5889274,1,2,42,F,1
5889274,2,2,7,M,1
5889274,2,2,44,M,1
5889274,3,2,15,M,1
5890836,1,2,53,F,1
5890836,2,2,49,F,1
5890837,1,1,52,F,2
5890856,1,1,19,M,3
5890857,1,1,19,M,1
5890857,2,2,36,M,2
5891959,1,1,52,M,1
5892296,1,1,38,M,1
5892337,1,2,23,F,1
5892337,1,2,43,F,1
5892337,2,2,3,M,1
5892337,2,2,4,F,1
5892337,3,2,23,F,1
5892337,3,2,11,M,1
5892337,4,2,25,M,1
5892337,4,2,9,M,1
5892341,1,2,44,M,1
5892341,1,2,28,F,1
5892341,2,2,12,F,1
5892341,2,2,4,M,1
5892341,3,1,43,F,1
5892341,4,2,5,F,1
5892341,5,2,19,F,1
5892349,1,1,53,M,2
5892349,2,2,35,F,1
5892353,1,1,34,M,1
5892384,1,1,29,M,1
5892384,1,2,4,M,1
5892384,2,2,998,M,1
5892670,1,2,25,F,2
5892670,2,2,24,M,1
5892670,3,1,21,M,2
5892671,1,1,39,F,3
5892671,1,1,30,F,1
5892671,2,2,30,M,1
5892712,1,1,28,M,1
5892736,1,1,33,F,1
5895204,1,1,48,M,1
5895204,1,1,29,M,1
5895216,1,1,44,M,1
5895479,1,1,49,F,1
5895479,1,2,80,F,1
5895479,2,2,20,M,1
5895479,3,2,6,F,1
5895479,4,2,12,F,1
5895479,5,2,10,F,2
5898713,1,1,46,M,2
5898713,2,2,44,F,1
5898713,3,2,4,F,1
5898713,4,2,22,F,1
5898716,1,1,19,M,1
5899766,1,1,45,F,1
5899766,2,2,18,F,1
5899770,1,1,19,M,2
5899796,1,1,54,F,1
5899796,2,2,998,M,1
5899796,3,2,35,F,1
5900530,1,1,25,M,2
5900905,1,2,10,F,1
5900905,1,1,48,M,1
5901762,1,2,21,F,2
5901804,1,1,37,M,1
5901804,1,1,22,M,1
5901804,1,1,41,M,1
5901804,2,2,46,M,3
5901804,3,2,54,M,2
5901804,4,2,16,M,2
5901805,1,2,75,F,1
5901805,1,2,58,M,1
5901812,1,2,32,F,1
5901812,2,2,20,M,1
5901812,3,2,9,M,1
5901813,1,1,63,M,2
5901857,1,2,86,F,1
5901857,1,2,10,M,2
5901857,2,1,88,M,1
5902693,1,2,37,F,1
5903201,1,1,36,M,2
5903201,2,2,62,F,3
5903218,1,1,22,F,2
5903285,1,1,38,F,1
5903285,1,1,37,M,1
5903285,2,2,17,M,1
5903289,1,1,55,F,1
5903411,1,1,64,M,1
5903439,1,2,4,F,1
5903439,2,2,21,F,1
5903466,1,2,41,F,3
5903466,2,2,47,F,2
5903466,3,1,33,F,1
5903466,4,2,48,M,1
5903466,5,2,50,M,1
5903471,1,3,23,M,2
5903475,1,2,26,M,1
5903475,2,1,33,M,2
5903479,1,2,24,F,1
5904176,1,1,43,M,1
5904180,1,1,31,M,1
5904246,1,1,36,M,1
5904246,1,1,21,F,1
5904254,1,1,20,F,1
5904254,1,2,47,F,1
5904254,2,2,22,M,1
5904353,1,1,32,M,3
5904365,1,1,49,F,1
5904365,1,2,6,M,1
5904365,2,2,18,F,1
5904956,1,1,50,M,3
5904960,1,1,60,F,1
5904960,2,2,4,M,1
5904960,3,2,1,F,1
5905139,1,2,17,M,1
5905139,1,2,39,F,1
5905143,1,2,18,F,1
5905143,2,2,18,F,1
5905171,1,1,23,F,2
5905171,1,2,50,M,1
5905171,2,2,26,M,1
5905612,1,1,25,M,1
5905612,2,2,30,M,1
5905689,1,2,50,M,1
5905689,1,2,45,F,1
5905689,1,1,26,F,1
5905689,2,2,19,M,1
5905689,2,2,24,F,1
5905689,3,2,19,M,1
5905689,4,2,18,M,1
5905701,1,1,57,M,1
5905831,1,1,28,F,1
5905831,2,2,16,M,2
5905831,3,2,18,M,1
5905835,1,1,43,F,1
5905835,2,2,998,M,1
